fertilizer_kg_acre,rainfall_mm,temperature,seed_variety,irrigation_type,disease_status,soil_quality,baseline_yield_kg_ha,yield_kg_acre
65.2,1629.0,31.8,BG 358,Rainfed,None,Excellent,4437.9,1837.1
61.6,1028.0,27.3,BG 359,Rainfed,Moderate,Good,4397.3,1146.2
39.0,1034.0,33.2,AT 362,Partial Irrigation,Severe,Excellent,4153.7,686.5
109.8,1525.0,26.7,Traditional,Rainfed,None,Good,4397.3,1629.8
45.3,1475.0,25.4,BG 358,Rainfed,Severe,Poor,4153.7,550.6
90.5,1079.0,31.0,BG 358,Full Irrigation,None,Good,4356.7,1969.6
26.7,906.0,25.6,BG 358,Partial Irrigation,None,Poor,4113.1,931.2
23.9,1151.0,33.5,BG 359,Partial Irrigation,Mild,Average,4275.5,1030.1
85.4,1207.0,30.6,BG 359,Full Irrigation,None,Excellent,4316.1,2740.8
53.9,1940.0,26.3,AT 362,Rainfed,Moderate,Excellent,4356.7,1215.2
85.5,2090.0,26.1,BG 358,Full Irrigation,None,Average,4234.9,2052.8
29.4,1428.0,33.2,BG 358,Partial Irrigation,Mild,Average,4437.9,1300.3
115.0,1427.0,30.1,BG 352,Full Irrigation,None,Average,4356.7,2179.8
94.9,1826.0,32.9,BG 352,Full Irrigation,None,Poor,4153.7,1446.0
107.6,1715.0,25.1,BG 352,Rainfed,None,Good,4356.7,1863.1
33.6,1139.0,33.3,BG 358,Rainfed,Severe,Average,4356.7,517.8
52.0,1040.0,29.2,AT 362,Partial Irrigation,Mild,Poor,4234.9,917.5
56.8,1469.0,30.7,AT 362,Partial Irrigation,Mild,Good,4356.7,1393.8
73.7,1634.0,27.7,Traditional,Rainfed,None,Good,4437.9,1440.3
49.7,1080.0,24.6,BG 359,Rainfed,None,Good,4397.3,1238.0
26.1,1281.0,33.6,BG 359,Full Irrigation,None,Excellent,4356.7,2107.4
56.9,1298.0,33.9,Traditional,Full Irrigation,Moderate,Good,4316.1,1107.3
45.5,1240.0,27.6,BG 352,Rainfed,None,Good,4194.3,1511.2
58.6,1499.0,33.4,AT 362,Full Irrigation,None,Poor,4397.3,1511.8
39.7,1749.0,25.7,Traditional,Rainfed,Mild,Average,4234.9,804.9
46.2,1562.0,25.5,BG 359,Partial Irrigation,Mild,Average,4275.5,1401.4
82.7,1162.0,24.7,BG 358,Rainfed,None,Excellent,4194.3,1392.3
58.8,1034.0,27.9,AT 362,Partial Irrigation,None,Average,4194.3,1251.2
54.5,1968.0,24.5,Traditional,Rainfed,None,Good,4153.7,908.7
73.4,1523.0,27.9,BG 358,Rainfed,Mild,Good,4437.9,1732.9
97.2,981.0,25.4,BG 359,Rainfed,None,Poor,4153.7,1099.8
57.9,1236.0,31.3,BG 352,Rainfed,Mild,Excellent,4113.1,1437.1
78.8,1945.0,32.3,BG 358,Rainfed,None,Good,4437.9,1501.0
116.6,1877.0,30.9,AT 362,Partial Irrigation,Moderate,Poor,4275.5,1026.1
72.2,2039.0,26.0,BG 359,Full Irrigation,Severe,Poor,4234.9,945.7
111.0,1683.0,31.7,BG 352,Rainfed,None,Excellent,4356.7,2044.3
99.4,1450.0,26.5,BG 358,Full Irrigation,None,Average,4234.9,2752.8
25.9,1455.0,31.6,BG 352,Partial Irrigation,None,Poor,4153.7,990.3
62.9,1152.0,29.7,AT 362,Rainfed,Moderate,Good,4356.7,1056.8
89.8,1746.0,27.7,Traditional,Rainfed,None,Poor,4153.7,1058.1
118.7,1661.0,24.8,BG 352,Full Irrigation,Mild,Poor,4275.5,1655.4
65.8,1101.0,32.3,BG 358,Rainfed,None,Excellent,4437.9,1436.8
29.3,2051.0,33.4,Traditional,Partial Irrigation,None,Poor,4437.9,721.8
76.2,1379.0,30.7,Traditional,Rainfed,Mild,Excellent,4234.9,1148.1
32.7,965.0,33.6,AT 362,Full Irrigation,Mild,Good,4397.3,1290.7
95.2,1326.0,33.3,AT 362,Full Irrigation,Moderate,Average,4316.1,1519.8
70.8,2031.0,25.9,Traditional,Rainfed,Moderate,Average,4275.5,705.0
92.3,2092.0,31.3,BG 358,Rainfed,Mild,Average,4153.7,1129.8
106.9,1538.0,27.5,Traditional,Partial Irrigation,None,Good,4234.9,1638.8
82.9,2143.0,28.9,Traditional,Partial Irrigation,Moderate,Excellent,4316.1,1220.8
81.2,2038.0,25.6,BG 358,Partial Irrigation,Moderate,Average,4437.9,1257.8
95.5,1973.0,33.7,BG 352,Partial Irrigation,Moderate,Good,4113.1,1212.3
104.2,2018.0,31.3,BG 359,Rainfed,Severe,Good,4356.7,947.1
106.9,1396.0,26.7,AT 362,Rainfed,None,Poor,4397.3,1509.9
23.6,1883.0,27.7,Traditional,Partial Irrigation,Mild,Excellent,4437.9,1114.8
75.6,1651.0,28.2,BG 352,Full Irrigation,Mild,Excellent,4234.9,2365.2
41.6,1836.0,31.5,BG 358,Full Irrigation,None,Poor,4153.7,1321.7
106.0,1131.0,33.3,AT 362,Partial Irrigation,Mild,Average,4194.3,1304.8
84.8,1851.0,27.2,BG 352,Full Irrigation,None,Excellent,4397.3,2435.6
62.0,2145.0,28.7,AT 362,Partial Irrigation,None,Excellent,4397.3,1813.8
38.8,1293.0,29.9,BG 358,Partial Irrigation,None,Poor,4316.1,1475.3
53.9,2182.0,27.9,BG 352,Partial Irrigation,Mild,Excellent,4153.7,1608.4
90.4,1392.0,29.0,BG 358,Partial Irrigation,Mild,Average,4153.7,1708.2
40.4,1160.0,25.1,AT 362,Rainfed,None,Average,4275.5,915.7
29.4,1046.0,25.7,Traditional,Full Irrigation,None,Average,4316.1,917.7
108.8,1920.0,28.0,BG 352,Rainfed,Mild,Good,4113.1,1467.8
96.4,1621.0,33.1,BG 359,Rainfed,None,Poor,4356.7,1289.0
40.0,1299.0,27.5,BG 358,Partial Irrigation,None,Good,4275.5,1991.0
49.2,1691.0,26.5,AT 362,Rainfed,None,Poor,4113.1,1035.8
117.2,1332.0,31.4,AT 362,Rainfed,Moderate,Poor,4113.1,959.5
90.8,1483.0,33.5,Traditional,Partial Irrigation,None,Excellent,4275.5,1587.1
81.1,2021.0,28.6,BG 358,Rainfed,Mild,Average,4356.7,1415.7
50.8,1769.0,24.1,BG 358,Rainfed,Moderate,Excellent,4397.3,1333.6
49.9,1891.0,30.9,BG 358,Partial Irrigation,None,Good,4234.9,1529.3
24.0,1659.0,28.2,AT 362,Partial Irrigation,Moderate,Excellent,4194.3,1303.0
92.8,2189.0,30.7,BG 359,Full Irrigation,None,Poor,4437.9,1658.8
24.3,1214.0,26.8,BG 352,Rainfed,None,Excellent,4275.5,1489.1
20.5,1241.0,24.0,Traditional,Full Irrigation,None,Excellent,4194.3,1358.0
92.9,1020.0,27.4,BG 352,Partial Irrigation,Mild,Average,4234.9,1409.7
114.9,1620.0,31.0,Traditional,Partial Irrigation,Severe,Poor,4113.1,616.3
95.7,1697.0,27.9,BG 352,Full Irrigation,Mild,Poor,4194.3,1863.2
67.2,1844.0,26.2,BG 359,Rainfed,Mild,Good,4275.5,1534.1
68.6,1336.0,28.6,BG 358,Full Irrigation,None,Poor,4437.9,1934.2
63.6,916.0,31.5,AT 362,Rainfed,Severe,Poor,4356.7,428.3
52.5,1722.0,25.2,BG 359,Partial Irrigation,None,Good,4397.3,1781.8
72.2,2198.0,30.9,BG 358,Rainfed,None,Good,4275.5,1362.3
63.1,1283.0,30.7,BG 359,Partial Irrigation,Severe,Excellent,4113.1,1049.1
79.8,1139.0,27.7,Traditional,Full Irrigation,None,Excellent,4234.9,1669.2
109.8,1266.0,33.7,BG 358,Full Irrigation,None,Average,4437.9,2426.3
119.5,1453.0,32.9,BG 358,Full Irrigation,None,Average,4113.1,2488.2
27.9,1226.0,27.2,BG 352,Full Irrigation,None,Poor,4397.3,1563.2
58.5,1351.0,24.3,AT 362,Partial Irrigation,Moderate,Poor,4356.7,1003.5
38.1,1730.0,27.1,AT 362,Partial Irrigation,None,Average,4194.3,1471.0
55.2,1349.0,26.0,AT 362,Full Irrigation,Severe,Excellent,4397.3,1395.4
48.7,1415.0,29.5,BG 352,Rainfed,None,Excellent,4397.3,1749.4
37.5,952.0,33.2,AT 362,Full Irrigation,Mild,Excellent,4113.1,1309.5
96.4,2093.0,32.7,Traditional,Partial Irrigation,Mild,Average,4113.1,970.7
69.6,1429.0,27.1,Traditional,Partial Irrigation,Mild,Good,4316.1,1390.3
111.9,1327.0,28.3,Traditional,Partial Irrigation,None,Good,4437.9,1772.3
23.3,1012.0,24.4,BG 358,Full Irrigation,Mild,Poor,4113.1,946.3
26.7,1724.0,29.4,AT 362,Full Irrigation,Mild,Average,4316.1,1579.3
60.3,2023.0,24.6,BG 359,Rainfed,Moderate,Good,4153.7,1016.4
28.0,953.0,33.4,BG 359,Full Irrigation,None,Average,4316.1,1306.5
46.3,1089.0,32.7,BG 358,Full Irrigation,None,Average,4316.1,1419.7
118.6,1090.0,26.1,AT 362,Full Irrigation,Mild,Average,4113.1,1715.0
40.9,1683.0,31.0,Traditional,Full Irrigation,None,Poor,4356.7,1016.2
39.8,2098.0,29.7,AT 362,Full Irrigation,None,Excellent,4437.9,1991.1
77.4,1469.0,32.0,Traditional,Rainfed,Severe,Excellent,4397.3,737.1
69.8,1347.0,28.8,Traditional,Partial Irrigation,None,Excellent,4113.1,1611.5
78.0,1896.0,25.9,BG 352,Full Irrigation,None,Excellent,4194.3,1996.4
57.7,1865.0,30.4,Traditional,Full Irrigation,Mild,Average,4194.3,994.5
102.7,1221.0,24.8,Traditional,Partial Irrigation,None,Poor,4275.5,1072.4
33.9,1109.0,29.8,BG 359,Full Irrigation,None,Average,4153.7,1617.3
62.8,1365.0,26.1,AT 362,Full Irrigation,None,Excellent,4397.3,2599.7
89.0,1908.0,30.8,AT 362,Rainfed,None,Poor,4356.7,1034.0
106.8,1804.0,32.3,AT 362,Full Irrigation,None,Good,4397.3,2177.6
57.0,1766.0,25.1,Traditional,Partial Irrigation,Moderate,Poor,4153.7,745.5
76.8,1978.0,28.0,BG 352,Partial Irrigation,None,Average,4113.1,1493.6
26.9,1260.0,31.3,BG 352,Rainfed,None,Poor,4437.9,1016.9
37.0,1342.0,25.6,BG 358,Full Irrigation,Mild,Poor,4194.3,1312.1
26.9,955.0,29.7,BG 359,Rainfed,None,Poor,4316.1,990.2
92.8,2029.0,30.7,Traditional,Partial Irrigation,None,Good,4437.9,1337.5
48.8,1657.0,27.5,AT 362,Rainfed,None,Good,4113.1,1329.7
92.4,1288.0,32.3,BG 352,Full Irrigation,None,Average,4113.1,1874.9
26.6,990.0,29.1,AT 362,Partial Irrigation,None,Excellent,4113.1,1270.9
106.3,1840.0,30.3,BG 359,Rainfed,None,Average,4153.7,1321.1
103.6,1873.0,25.4,BG 358,Rainfed,Moderate,Good,4113.1,1257.5
28.9,1766.0,24.2,AT 362,Full Irrigation,Severe,Good,4397.3,1028.5
22.4,1165.0,24.5,BG 358,Rainfed,Moderate,Good,4316.1,831.9
25.6,2087.0,33.0,AT 362,Full Irrigation,None,Excellent,4437.9,1698.6
105.4,1879.0,32.8,BG 352,Rainfed,Mild,Excellent,4397.3,1652.2
43.5,1755.0,32.1,BG 358,Full Irrigation,Mild,Good,4437.9,1966.4
74.8,1746.0,26.0,BG 359,Partial Irrigation,None,Excellent,4194.3,2098.0
62.6,2076.0,29.3,AT 362,Rainfed,Severe,Good,4194.3,745.0
99.6,2107.0,32.0,Traditional,Full Irrigation,Mild,Average,4397.3,1321.6
68.9,1674.0,30.7,BG 358,Rainfed,None,Excellent,4194.3,1799.1
70.1,1442.0,25.2,Traditional,Full Irrigation,Severe,Poor,4113.1,633.5
118.9,1373.0,33.0,Traditional,Partial Irrigation,None,Average,4356.7,1428.6
35.0,1965.0,25.6,BG 358,Partial Irrigation,None,Poor,4397.3,1081.3
103.1,1738.0,25.7,BG 352,Rainfed,None,Excellent,4437.9,1813.5
25.2,1000.0,33.0,BG 358,Rainfed,None,Excellent,4437.9,1271.5
67.8,1085.0,28.8,AT 362,Rainfed,Severe,Excellent,4153.7,728.6
108.6,2070.0,27.7,AT 362,Full Irrigation,Mild,Poor,4356.7,1655.6
86.5,2050.0,29.5,AT 362,Rainfed,None,Average,4397.3,1427.7
88.5,2137.0,33.8,AT 362,Rainfed,Mild,Average,4356.7,1061.3
46.3,1456.0,25.2,BG 352,Rainfed,Moderate,Poor,4397.3,791.7
61.9,1919.0,31.6,BG 359,Full Irrigation,Moderate,Good,4397.3,1716.6
56.7,1977.0,27.3,Traditional,Full Irrigation,Severe,Poor,4275.5,611.6
72.1,1310.0,25.2,BG 358,Full Irrigation,Moderate,Good,4113.1,1644.6
66.2,1089.0,28.2,Traditional,Rainfed,Mild,Good,4275.5,980.1
52.7,2196.0,29.5,BG 352,Partial Irrigation,None,Good,4153.7,1535.5
50.5,939.0,26.1,Traditional,Full Irrigation,Moderate,Excellent,4153.7,1036.1
45.1,1677.0,28.1,AT 362,Rainfed,None,Excellent,4153.7,1599.8
56.5,1745.0,30.4,AT 362,Full Irrigation,None,Average,4356.7,1641.6
35.0,1786.0,29.8,AT 362,Rainfed,None,Good,4275.5,1428.4
107.2,1232.0,31.2,Traditional,Full Irrigation,None,Excellent,4275.5,1926.7
80.2,1838.0,32.4,BG 358,Partial Irrigation,Mild,Excellent,4356.7,1812.8
33.4,1181.0,28.1,BG 352,Full Irrigation,Moderate,Good,4275.5,1314.3
89.4,1978.0,28.2,Traditional,Partial Irrigation,None,Poor,4316.1,949.3
104.8,1185.0,29.0,BG 352,Full Irrigation,Mild,Average,4113.1,1764.5
43.8,1806.0,29.7,AT 362,Full Irrigation,None,Excellent,4397.3,2003.2
35.1,1918.0,25.1,BG 358,Rainfed,Mild,Poor,4275.5,884.2
20.9,1146.0,27.1,Traditional,Partial Irrigation,None,Good,4153.7,962.8
24.7,1209.0,25.7,Traditional,Partial Irrigation,None,Good,4397.3,1137.2
96.2,1913.0,27.9,BG 359,Partial Irrigation,Mild,Poor,4356.7,1436.9
118.7,1012.0,33.7,BG 359,Full Irrigation,None,Average,4113.1,1844.5
24.5,1148.0,29.8,BG 359,Rainfed,None,Excellent,4153.7,1333.2
94.8,1492.0,28.3,BG 359,Rainfed,None,Good,4113.1,1979.0
27.2,2109.0,29.7,Traditional,Partial Irrigation,None,Excellent,4194.3,1229.9
79.2,1630.0,30.7,BG 358,Full Irrigation,Mild,Average,4113.1,1832.9
95.6,1404.0,28.3,Traditional,Rainfed,None,Excellent,4356.7,1511.2
55.9,2172.0,28.5,AT 362,Partial Irrigation,None,Good,4275.5,1518.9
21.1,1503.0,31.0,Traditional,Full Irrigation,Moderate,Excellent,4437.9,1172.5
79.5,1464.0,24.6,AT 362,Partial Irrigation,Mild,Average,4356.7,1411.6
119.1,1435.0,29.4,Traditional,Partial Irrigation,None,Average,4316.1,1579.6
45.8,1306.0,29.5,BG 359,Partial Irrigation,Mild,Poor,4275.5,1411.2
38.9,1323.0,31.6,BG 359,Full Irrigation,None,Poor,4113.1,1399.1
32.4,1794.0,33.8,BG 358,Full Irrigation,None,Poor,4113.1,1259.5
75.5,953.0,32.0,BG 358,Partial Irrigation,Mild,Poor,4316.1,1037.6
79.6,1786.0,29.0,BG 352,Partial Irrigation,None,Average,4113.1,1774.7
99.2,1162.0,25.7,BG 358,Rainfed,None,Excellent,4113.1,1532.7
95.3,1399.0,29.9,Traditional,Partial Irrigation,Moderate,Average,4153.7,1032.3
109.3,1091.0,32.3,Traditional,Full Irrigation,Mild,Excellent,4397.3,1598.7
100.6,1619.0,33.3,AT 362,Partial Irrigation,Moderate,Excellent,4275.5,1598.2
44.7,1848.0,32.3,BG 358,Full Irrigation,Moderate,Excellent,4356.7,1586.9
75.6,1361.0,25.9,BG 359,Partial Irrigation,None,Good,4234.9,1979.2
49.7,1112.0,31.1,AT 362,Full Irrigation,Mild,Excellent,4153.7,1384.1
53.0,1194.0,32.8,BG 352,Full Irrigation,None,Average,4234.9,1407.3
113.2,1964.0,30.8,Traditional,Partial Irrigation,Mild,Good,4113.1,1235.2
88.2,1248.0,30.9,Traditional,Full Irrigation,None,Excellent,4356.7,1981.3
117.5,1907.0,29.0,Traditional,Full Irrigation,None,Poor,4153.7,1401.5
61.7,1331.0,30.4,BG 352,Rainfed,None,Poor,4234.9,1091.9
73.7,1145.0,26.9,Traditional,Rainfed,Mild,Poor,4437.9,700.2
68.7,1846.0,24.9,AT 362,Full Irrigation,None,Good,4316.1,1767.3
30.7,1509.0,32.3,BG 359,Partial Irrigation,Mild,Average,4275.5,1261.1
43.7,941.0,33.4,BG 352,Rainfed,Moderate,Average,4275.5,788.0
72.8,2148.0,32.6,BG 359,Full Irrigation,Mild,Excellent,4397.3,2227.4
26.7,1092.0,27.3,BG 358,Partial Irrigation,None,Poor,4194.3,1010.8
113.1,1359.0,24.9,Traditional,Rainfed,None,Poor,4316.1,990.1
32.4,1400.0,26.8,BG 358,Rainfed,Moderate,Average,4397.3,1128.7
39.8,1536.0,32.4,BG 358,Full Irrigation,Mild,Excellent,4316.1,2111.6
96.5,1921.0,30.6,Traditional,Full Irrigation,None,Good,4275.5,1434.6
29.7,908.0,33.7,BG 352,Partial Irrigation,Severe,Good,4153.7,578.0
110.0,2112.0,27.4,Traditional,Full Irrigation,None,Good,4194.3,1813.3
92.6,1740.0,29.5,Traditional,Rainfed,None,Average,4437.9,1158.3
26.9,2136.0,31.9,BG 358,Full Irrigation,None,Average,4275.5,1466.2
89.2,1963.0,26.3,AT 362,Rainfed,None,Excellent,4194.3,1697.6
83.2,2106.0,33.6,AT 362,Partial Irrigation,None,Good,4234.9,1591.6
95.7,1681.0,29.9,BG 359,Full Irrigation,Mild,Good,4316.1,2659.9
102.8,1365.0,24.1,AT 362,Partial Irrigation,None,Poor,4275.5,1400.1
91.8,1476.0,24.3,BG 352,Full Irrigation,Mild,Good,4356.7,2212.5
78.6,1755.0,32.8,BG 359,Partial Irrigation,Moderate,Average,4194.3,1275.5
52.2,1455.0,30.5,BG 359,Rainfed,Moderate,Average,4316.1,1106.7
89.7,1851.0,31.6,BG 359,Rainfed,None,Good,4234.9,1570.6
115.7,1019.0,31.8,Traditional,Rainfed,Mild,Average,4437.9,887.8
78.8,1979.0,28.2,Traditional,Rainfed,None,Good,4153.7,1147.1
86.4,1165.0,32.0,AT 362,Rainfed,Mild,Poor,4153.7,813.9
63.7,2127.0,33.4,BG 359,Full Irrigation,None,Poor,4275.5,1518.2
95.6,1102.0,25.7,BG 359,Rainfed,Mild,Good,4275.5,1342.7
119.8,1068.0,31.6,BG 352,Rainfed,None,Excellent,4356.7,1644.9
36.0,1955.0,27.1,BG 359,Full Irrigation,Mild,Excellent,4234.9,1957.7
40.2,1964.0,27.2,BG 358,Partial Irrigation,None,Average,4437.9,1465.1
73.9,1860.0,28.1,Traditional,Rainfed,None,Excellent,4275.5,1267.6
68.1,2149.0,32.6,AT 362,Full Irrigation,Mild,Average,4153.7,1324.8
77.2,1252.0,24.2,Traditional,Rainfed,None,Excellent,4153.7,1274.7
24.9,1975.0,28.3,Traditional,Full Irrigation,Mild,Average,4437.9,1121.3
60.4,1358.0,30.8,BG 359,Rainfed,Mild,Poor,4153.7,1024.1
78.3,1599.0,25.1,BG 359,Partial Irrigation,Mild,Poor,4437.9,1416.9
78.5,1479.0,31.9,AT 362,Partial Irrigation,Mild,Excellent,4194.3,1640.7
85.7,908.0,33.4,BG 359,Partial Irrigation,Mild,Good,4113.1,1370.0
92.0,1647.0,24.9,BG 358,Full Irrigation,Moderate,Poor,4194.3,1375.3
84.2,1872.0,25.5,AT 362,Partial Irrigation,None,Excellent,4316.1,1691.8
99.0,1127.0,33.7,BG 359,Partial Irrigation,Mild,Poor,4234.9,1196.8
82.5,2111.0,26.0,Traditional,Rainfed,Mild,Average,4397.3,871.3
73.8,1590.0,24.8,BG 358,Partial Irrigation,None,Good,4316.1,2004.0
80.6,1132.0,33.5,BG 359,Full Irrigation,None,Poor,4234.9,1384.2
30.1,1740.0,32.9,BG 359,Full Irrigation,None,Excellent,4316.1,2124.6
47.3,1149.0,30.6,Traditional,Partial Irrigation,Mild,Good,4437.9,981.8
72.7,983.0,29.5,BG 359,Partial Irrigation,None,Excellent,4234.9,1797.9
107.3,1791.0,33.2,BG 352,Partial Irrigation,Mild,Excellent,4153.7,1925.7
87.9,1044.0,30.6,BG 358,Full Irrigation,Mild,Excellent,4234.9,1888.7
29.0,1038.0,30.6,Traditional,Full Irrigation,Mild,Poor,4397.3,746.8
79.2,1862.0,32.4,BG 358,Partial Irrigation,None,Poor,4153.7,1212.5
42.2,972.0,30.5,BG 358,Full Irrigation,Mild,Poor,4437.9,1190.6
93.4,1953.0,29.0,BG 352,Rainfed,Mild,Poor,4316.1,1149.6
102.7,1935.0,27.9,AT 362,Full Irrigation,None,Good,4316.1,2180.6
79.3,1084.0,29.0,BG 352,Full Irrigation,None,Poor,4194.3,1442.6
79.1,1574.0,29.2,BG 358,Full Irrigation,None,Average,4437.9,2474.5
53.9,1026.0,27.6,AT 362,Partial Irrigation,Severe,Good,4113.1,783.8
64.6,1722.0,28.5,Traditional,Full Irrigation,None,Good,4194.3,1912.5
106.4,982.0,32.0,BG 358,Partial Irrigation,None,Average,4234.9,1567.9
92.3,2128.0,28.2,BG 358,Full Irrigation,None,Poor,4275.5,1773.7
72.0,1170.0,24.3,BG 352,Rainfed,None,Poor,4275.5,908.2
56.8,1788.0,26.8,BG 359,Partial Irrigation,None,Excellent,4153.7,2228.0
25.0,1067.0,26.3,Traditional,Partial Irrigation,Mild,Average,4194.3,774.2
34.3,1172.0,31.9,BG 358,Full Irrigation,None,Good,4113.1,1553.8
39.3,1486.0,28.5,BG 358,Full Irrigation,Moderate,Good,4316.1,1641.9
57.3,1645.0,26.8,BG 358,Full Irrigation,None,Average,4234.9,2210.5
114.4,2199.0,32.1,Traditional,Rainfed,None,Good,4316.1,1155.9
70.5,934.0,24.2,BG 359,Partial Irrigation,Mild,Average,4316.1,1268.3
43.5,900.0,25.7,AT 362,Rainfed,Mild,Average,4356.7,905.2
30.6,1355.0,32.3,AT 362,Full Irrigation,Moderate,Excellent,4275.5,1369.8
53.8,1376.0,29.5,AT 362,Rainfed,None,Average,4316.1,1376.9
101.6,2049.0,31.7,BG 359,Partial Irrigation,None,Good,4316.1,1975.8
58.3,2086.0,32.4,BG 359,Partial Irrigation,Mild,Good,4316.1,1501.4
97.3,2045.0,33.4,BG 359,Full Irrigation,None,Poor,4316.1,1581.6
100.3,1086.0,24.6,BG 352,Full Irrigation,Moderate,Good,4194.3,1548.4
31.1,1436.0,32.0,BG 359,Full Irrigation,None,Excellent,4194.3,2088.0
80.9,1870.0,31.1,Traditional,Partial Irrigation,None,Average,4397.3,1061.2
115.9,1306.0,26.1,BG 352,Rainfed,Mild,Excellent,4234.9,2009.1
60.2,1762.0,33.3,Traditional,Full Irrigation,Mild,Poor,4275.5,1023.0
25.1,1208.0,28.0,BG 359,Rainfed,Moderate,Poor,4153.7,832.8
112.3,1320.0,32.9,BG 358,Partial Irrigation,Moderate,Excellent,4234.9,1875.2
108.4,2019.0,30.1,BG 352,Partial Irrigation,None,Excellent,4275.5,1883.5
72.2,1226.0,29.3,AT 362,Partial Irrigation,Mild,Excellent,4316.1,1997.2
75.2,2154.0,25.6,BG 352,Full Irrigation,Severe,Good,4275.5,1062.3
41.2,1298.0,33.1,BG 359,Rainfed,None,Poor,4234.9,1147.0
101.9,931.0,29.6,BG 352,Partial Irrigation,None,Average,4437.9,1653.0
69.9,1231.0,24.1,Traditional,Rainfed,Moderate,Good,4275.5,853.6
23.4,1123.0,24.2,BG 352,Full Irrigation,None,Poor,4397.3,999.0
88.3,1559.0,31.8,Traditional,Full Irrigation,Moderate,Good,4356.7,1472.0
115.0,1047.0,25.6,BG 359,Partial Irrigation,None,Poor,4316.1,1409.7
102.9,1714.0,30.0,BG 352,Rainfed,Moderate,Poor,4397.3,1128.7
47.7,2037.0,30.8,AT 362,Rainfed,Mild,Poor,4153.7,808.4
25.3,1371.0,26.8,Traditional,Rainfed,Mild,Poor,4437.9,793.0
114.0,1119.0,29.7,BG 358,Partial Irrigation,Mild,Poor,4397.3,1363.5
113.7,1420.0,26.4,Traditional,Full Irrigation,None,Excellent,4275.5,2260.4
73.2,1922.0,33.5,AT 362,Rainfed,Mild,Excellent,4356.7,1295.8
84.2,1669.0,32.6,AT 362,Partial Irrigation,Moderate,Good,4275.5,1310.0
66.3,1031.0,26.9,BG 358,Partial Irrigation,Severe,Average,4194.3,814.3
62.0,1598.0,29.3,BG 352,Rainfed,Severe,Poor,4397.3,720.0
31.9,1509.0,29.0,BG 359,Partial Irrigation,Mild,Excellent,4194.3,1738.1
29.7,1325.0,33.6,Traditional,Full Irrigation,Mild,Excellent,4194.3,1327.5
43.3,1043.0,27.9,BG 359,Full Irrigation,Mild,Excellent,4275.5,2025.8
103.7,2175.0,29.6,AT 362,Partial Irrigation,Mild,Average,4397.3,1597.3
34.6,1129.0,33.3,AT 362,Rainfed,Mild,Poor,4234.9,670.1
42.7,1151.0,25.6,BG 358,Full Irrigation,None,Good,4275.5,1603.2
74.9,1089.0,29.5,BG 352,Rainfed,None,Average,4113.1,1245.6
41.5,1641.0,25.1,Traditional,Full Irrigation,Mild,Average,4153.7,1053.2
36.3,1477.0,30.2,AT 362,Full Irrigation,None,Average,4113.1,1485.8
76.3,1224.0,27.7,BG 359,Rainfed,None,Poor,4113.1,1388.8
56.8,1458.0,33.7,BG 359,Full Irrigation,None,Excellent,4397.3,2588.3
82.6,1776.0,28.2,Traditional,Rainfed,Moderate,Poor,4397.3,789.3
111.2,1266.0,25.4,AT 362,Partial Irrigation,Severe,Excellent,4397.3,1171.4
35.1,2090.0,32.3,AT 362,Rainfed,Mild,Excellent,4113.1,992.7
111.3,1298.0,32.2,AT 362,Rainfed,Severe,Poor,4113.1,665.9
110.2,1158.0,30.9,BG 358,Full Irrigation,Moderate,Good,4194.3,1615.2
102.9,2141.0,31.5,AT 362,Partial Irrigation,None,Poor,4316.1,1188.4
83.1,1954.0,26.6,Traditional,Partial Irrigation,None,Excellent,4234.9,1451.0
82.0,1346.0,30.4,BG 358,Partial Irrigation,None,Good,4275.5,2020.5
83.9,1994.0,24.4,BG 359,Full Irrigation,None,Poor,4153.7,1480.6
89.0,1574.0,26.0,AT 362,Full Irrigation,Mild,Excellent,4356.7,2125.4
21.6,1351.0,33.3,BG 359,Partial Irrigation,None,Excellent,4194.3,1721.4
115.8,1991.0,31.4,Traditional,Rainfed,Moderate,Excellent,4113.1,955.2
78.6,1878.0,26.3,BG 359,Rainfed,Mild,Average,4356.7,1473.2
98.1,1287.0,25.1,BG 358,Partial Irrigation,None,Excellent,4437.9,2347.1
57.7,1689.0,33.5,BG 352,Rainfed,Severe,Good,4113.1,758.9
21.2,1380.0,25.1,Traditional,Rainfed,Severe,Good,4234.9,499.2
71.0,901.0,26.6,AT 362,Rainfed,Mild,Average,4397.3,1170.8
70.7,2150.0,25.8,BG 359,Full Irrigation,Mild,Average,4356.7,1774.2
63.7,1615.0,24.1,BG 359,Partial Irrigation,Severe,Good,4397.3,1108.8
54.0,1678.0,27.1,BG 359,Full Irrigation,Mild,Good,4234.9,2214.0
45.0,1680.0,33.7,Traditional,Partial Irrigation,Moderate,Poor,4234.9,648.4
72.8,1616.0,27.4,AT 362,Partial Irrigation,None,Average,4356.7,1774.1
57.5,1277.0,29.0,Traditional,Full Irrigation,Mild,Poor,4153.7,1205.0
117.0,2163.0,31.5,Traditional,Full Irrigation,None,Average,4194.3,1491.3
37.3,1708.0,29.5,AT 362,Rainfed,None,Excellent,4316.1,1573.0
52.0,1772.0,31.4,BG 359,Rainfed,None,Good,4356.7,1614.4
