temperature,humidity,rainfall_7d_mm,growth_stage,likely_pest,risk_score,risk_level
26.3,98.9,91.8,Vegetative,Leaf Folder,0.945,High
27.0,67.2,94.3,Flowering,Rice Bug,0.703,High
22.9,86.0,83.4,Vegetative,Rice Blast Risk,1.0,High
32.2,71.7,6.4,Flowering,Rice Bug,0.978,High
35.0,84.8,86.8,Seedling,Rice Bug,0.427,Medium
35.5,75.9,53.8,Tillering,Stem Borer,0.768,High
24.8,78.4,18.9,Tillering,Leaf Folder,0.945,High
28.6,45.9,35.4,Vegetative,Stem Borer,0.69,High
23.0,81.9,60.1,Flowering,Rice Bug,0.719,High
22.9,46.7,39.6,Vegetative,Rice Blast Risk,0.535,Medium
21.2,98.6,116.4,Flowering,Rice Blast Risk,0.956,High
36.8,45.9,57.0,Vegetative,Stem Borer,0.436,Medium
35.8,46.6,44.7,Tillering,Stem Borer,0.406,Low
33.5,90.1,80.8,Flowering,Rice Bug,1.0,High
28.4,47.0,78.1,Ripening,Rice Bug,0.72,High
27.8,55.3,0.3,Vegetative,Leaf Folder,0.757,High
28.6,80.0,74.2,Tillering,Leaf Folder,0.905,High
28.7,41.1,29.3,Tillering,Stem Borer,0.621,Medium
26.7,41.1,45.0,Ripening,Rice Blast Risk,0.638,Medium
20.6,64.0,84.8,Ripening,Rice Blast Risk,0.574,Medium
20.5,47.1,66.9,Flowering,Rice Blast Risk,0.567,Medium
37.0,46.5,44.2,Ripening,Rice Bug,0.772,High
27.6,30.6,20.1,Seedling,Brown Planthopper,0.429,Medium
37.1,55.9,60.7,Flowering,Rice Bug,0.765,High
21.3,52.3,38.3,Ripening,Rice Blast Risk,0.502,Medium
29.1,32.2,109.6,Flowering,Rice Bug,0.791,High
22.2,73.5,64.1,Tillering,Stem Borer,0.733,High
23.1,73.9,103.9,Ripening,Rice Bug,0.821,High
18.6,35.0,46.8,Flowering,Rice Bug,0.588,Medium
20.4,52.2,99.3,Ripening,Rice Blast Risk,0.567,Medium
36.3,91.1,6.8,Seedling,Brown Planthopper,0.439,Medium
24.4,70.8,35.8,Flowering,Rice Bug,0.839,High
30.2,58.8,9.4,Tillering,Stem Borer,0.549,Medium
27.3,62.6,3.8,Ripening,Rice Bug,0.767,High
26.0,44.6,110.3,Ripening,Rice Blast Risk,0.537,Medium
28.6,86.8,86.0,Ripening,Rice Bug,0.978,High
21.7,94.0,75.0,Vegetative,Rice Blast Risk,1.0,High
37.8,93.7,63.9,Tillering,Stem Borer,0.712,High
34.4,45.7,68.3,Seedling,Rice Bug,0.276,Low
32.8,51.8,76.6,Ripening,Rice Bug,0.709,High
27.4,41.2,99.2,Vegetative,Stem Borer,0.691,High
21.1,51.5,71.6,Flowering,Rice Blast Risk,0.512,Medium
36.4,53.3,89.8,Tillering,Stem Borer,0.39,Low
24.8,74.3,33.7,Ripening,Rice Bug,0.744,High
19.0,43.3,117.2,Ripening,Rice Bug,0.592,Medium
24.8,94.4,3.8,Flowering,Rice Blast Risk,0.787,High
33.9,37.2,46.4,Flowering,Rice Bug,0.644,Medium
30.5,30.5,105.8,Seedling,Stem Borer,0.47,Medium
33.0,89.8,21.7,Ripening,Rice Bug,1.0,High
33.9,79.3,17.0,Seedling,Rice Bug,0.493,Medium
22.2,54.9,43.9,Tillering,Rice Blast Risk,0.528,Medium
36.5,71.7,51.4,Vegetative,Stem Borer,0.653,Medium
26.8,45.6,112.0,Vegetative,Stem Borer,0.797,High
30.8,41.8,100.3,Ripening,Rice Bug,0.753,High
18.0,63.0,55.7,Vegetative,Stem Borer,0.313,Low
37.9,54.7,116.8,Tillering,Stem Borer,0.416,Low
23.6,73.1,77.1,Vegetative,Stem Borer,0.76,High
19.2,45.3,104.8,Ripening,Rice Bug,0.508,Medium
27.2,76.4,29.5,Flowering,Rice Bug,0.955,High
20.6,83.7,58.7,Tillering,Stem Borer,0.65,Medium
21.0,41.7,3.6,Seedling,Rice Blast Risk,0.304,Low
30.6,33.1,1.1,Seedling,Stem Borer,0.376,Low
25.9,60.8,84.7,Vegetative,Leaf Folder,0.646,Medium
36.4,84.2,14.2,Tillering,Brown Planthopper,0.616,Medium
24.4,75.6,65.7,Ripening,Rice Bug,0.769,High
32.5,79.1,83.5,Seedling,Rice Bug,0.507,Medium
27.2,58.2,3.9,Tillering,Leaf Folder,0.628,Medium
31.2,46.4,53.8,Vegetative,Stem Borer,0.649,Medium
30.0,67.2,82.1,Seedling,Rice Bug,0.447,Medium
27.5,44.3,106.8,Flowering,Rice Bug,0.804,High
37.0,80.8,35.9,Flowering,Rice Bug,1.0,High
24.9,43.8,116.9,Ripening,Rice Blast Risk,0.574,Medium
21.5,50.4,101.3,Tillering,Rice Blast Risk,0.562,Medium
31.6,65.5,78.1,Vegetative,Stem Borer,0.716,High
34.9,64.1,47.0,Ripening,Rice Bug,0.727,High
18.8,72.1,85.3,Vegetative,Stem Borer,0.69,High
27.0,60.6,97.9,Flowering,Rice Blast Risk,0.608,Medium
35.8,94.4,36.4,Ripening,Rice Bug,1.0,High
33.0,88.8,119.1,Seedling,Rice Blast Risk,0.589,Medium
37.8,91.5,109.0,Ripening,Rice Bug,0.99,High
28.6,74.1,58.3,Vegetative,Stem Borer,1.0,High
31.2,74.5,86.7,Tillering,Stem Borer,1.0,High
24.0,72.6,62.9,Vegetative,Stem Borer,0.789,High
37.0,60.4,91.3,Seedling,Rice Bug,0.21,Low
25.3,52.5,99.2,Flowering,Rice Blast Risk,0.614,Medium
32.8,71.4,2.8,Tillering,Stem Borer,0.603,Medium
26.1,31.8,9.5,Tillering,Leaf Folder,0.702,High
29.2,30.5,40.4,Tillering,Stem Borer,0.739,High
32.4,89.6,110.1,Flowering,Rice Bug,0.937,High
28.2,33.2,47.8,Ripening,Rice Bug,0.777,High
36.1,66.7,106.5,Tillering,Rice Bug,0.55,Medium
26.4,73.0,55.5,Seedling,Stem Borer,0.699,High
30.9,43.9,34.7,Vegetative,Stem Borer,0.688,High
24.8,92.7,108.1,Tillering,Leaf Folder,0.921,High
26.2,43.3,67.3,Seedling,Rice Blast Risk,0.584,Medium
26.8,91.9,43.3,Vegetative,Leaf Folder,1.0,High
20.5,83.4,5.3,Vegetative,Brown Planthopper,0.654,Medium
19.8,46.9,13.3,Ripening,Rice Bug,0.484,Medium
31.3,40.6,16.7,Tillering,Stem Borer,0.608,Medium
31.1,52.1,43.8,Ripening,Rice Bug,0.722,High
31.3,57.9,72.9,Tillering,Stem Borer,0.7,High
18.4,47.2,36.9,Tillering,Stem Borer,0.313,Low
24.5,99.9,7.9,Ripening,Rice Blast Risk,0.867,High
22.0,46.1,31.8,Flowering,Rice Blast Risk,0.551,Medium
33.6,88.1,49.0,Vegetative,Stem Borer,0.645,Medium
35.2,41.1,119.1,Vegetative,Stem Borer,0.277,Low
22.9,98.6,47.2,Flowering,Rice Blast Risk,1.0,High
31.4,45.8,10.7,Seedling,Stem Borer,0.328,Low
20.6,59.5,69.7,Seedling,Rice Blast Risk,0.561,Medium
23.5,69.1,110.4,Seedling,Rice Blast Risk,0.593,Medium
20.8,38.4,94.4,Flowering,Rice Blast Risk,0.593,Medium
23.7,87.2,100.3,Tillering,Rice Blast Risk,1.0,High
31.5,49.2,111.4,Seedling,Stem Borer,0.387,Low
36.2,68.4,76.4,Flowering,Rice Bug,0.979,High
22.1,68.5,119.4,Flowering,Rice Bug,0.771,High
28.8,72.2,4.0,Flowering,Rice Bug,1.0,High
32.0,33.9,100.2,Seedling,Rice Bug,0.245,Low
37.1,41.8,102.8,Ripening,Rice Bug,0.824,High
30.2,41.3,110.0,Seedling,Stem Borer,0.419,Low
23.1,51.1,57.4,Tillering,Rice Blast Risk,0.569,Medium
30.5,40.1,94.5,Tillering,Stem Borer,0.82,High
24.4,94.5,23.4,Vegetative,Leaf Folder,1.0,High
37.5,65.9,72.4,Vegetative,Rice Bug,0.584,Medium
26.0,73.7,43.0,Seedling,Rice Blast Risk,0.51,Medium
31.7,55.0,71.5,Tillering,Stem Borer,0.81,High
18.5,49.3,81.1,Flowering,Rice Bug,0.496,Medium
26.0,65.2,41.6,Vegetative,Stem Borer,0.689,High
35.5,50.6,25.9,Tillering,Stem Borer,0.292,Low
30.2,54.1,38.6,Ripening,Rice Bug,0.766,High
26.9,61.7,79.7,Vegetative,Stem Borer,0.646,Medium
36.7,65.4,81.2,Vegetative,Rice Bug,0.52,Medium
35.1,98.9,89.0,Seedling,Rice Blast Risk,0.592,Medium
24.4,45.6,15.2,Tillering,Leaf Folder,0.74,High
28.9,64.2,98.2,Vegetative,Stem Borer,0.728,High
27.8,40.5,82.6,Ripening,Rice Bug,0.864,High
30.6,54.5,3.7,Vegetative,Stem Borer,0.549,Medium
24.7,80.2,40.3,Flowering,Rice Bug,0.827,High
22.9,42.2,56.0,Seedling,Rice Blast Risk,0.46,Medium
36.3,70.7,43.3,Vegetative,Stem Borer,0.71,High
36.5,59.2,14.1,Seedling,Rice Bug,0.218,Low
34.9,33.6,24.9,Tillering,Stem Borer,0.378,Low
37.6,95.3,2.9,Seedling,Brown Planthopper,0.474,Medium
32.9,59.0,11.2,Seedling,Rice Bug,0.204,Low
33.3,84.9,32.0,Tillering,Brown Planthopper,0.637,Medium
33.3,59.1,98.4,Tillering,Stem Borer,0.378,Low
27.6,95.6,63.2,Vegetative,Leaf Folder,1.0,High
27.1,50.3,50.9,Tillering,Stem Borer,0.758,High
22.8,58.9,79.5,Tillering,Rice Blast Risk,0.565,Medium
30.9,83.1,65.0,Flowering,Rice Bug,1.0,High
23.8,54.1,15.8,Tillering,Leaf Folder,0.276,Low
23.2,55.5,26.7,Ripening,Rice Bug,0.478,Medium
29.7,99.6,26.7,Vegetative,Leaf Folder,1.0,High
26.2,68.9,72.0,Seedling,Rice Blast Risk,0.567,Medium
22.4,78.3,55.4,Tillering,Stem Borer,0.657,Medium
34.3,75.0,46.5,Seedling,Rice Bug,0.547,Medium
35.2,88.0,66.8,Flowering,Rice Bug,0.973,High
21.4,90.3,116.4,Vegetative,Rice Blast Risk,0.961,High
18.2,69.4,37.7,Vegetative,Stem Borer,0.424,Medium
24.7,50.6,62.4,Tillering,Leaf Folder,0.65,Medium
34.0,31.6,57.6,Seedling,Rice Bug,0.224,Low
34.8,73.0,86.0,Vegetative,Stem Borer,0.672,Medium
20.8,87.8,87.6,Ripening,Rice Blast Risk,0.947,High
33.5,61.5,87.5,Flowering,Rice Bug,0.73,High
20.3,41.5,24.2,Tillering,Stem Borer,0.455,Medium
25.8,50.2,53.9,Tillering,Leaf Folder,0.662,Medium
38.0,65.7,97.3,Tillering,Rice Bug,0.548,Medium
21.9,88.6,45.8,Ripening,Rice Blast Risk,1.0,High
21.1,42.0,118.1,Ripening,Rice Blast Risk,0.519,Medium
26.5,72.9,43.8,Tillering,Stem Borer,0.918,High
30.4,82.7,59.7,Ripening,Rice Bug,0.954,High
36.7,95.5,56.9,Seedling,Rice Blast Risk,0.616,Medium
37.6,38.2,52.0,Vegetative,Stem Borer,0.363,Low
19.4,94.8,101.5,Vegetative,Stem Borer,0.749,High
20.8,72.1,18.6,Flowering,Rice Bug,0.799,High
33.8,83.7,68.1,Flowering,Rice Bug,1.0,High
23.4,33.8,74.2,Tillering,Rice Blast Risk,0.512,Medium
35.7,65.4,102.1,Vegetative,Rice Bug,0.58,Medium
31.3,73.6,73.1,Tillering,Stem Borer,1.0,High
20.2,51.5,115.2,Vegetative,Rice Blast Risk,0.538,Medium
34.7,60.2,104.7,Tillering,Stem Borer,0.424,Medium
21.5,68.8,41.8,Vegetative,Rice Blast Risk,0.612,Medium
26.5,68.7,103.2,Ripening,Rice Bug,0.747,High
29.0,32.9,115.0,Flowering,Rice Bug,0.743,High
28.0,60.8,30.9,Seedling,Brown Planthopper,0.369,Low
31.7,45.0,73.2,Ripening,Rice Bug,0.632,Medium
31.1,94.2,33.8,Flowering,Rice Bug,1.0,High
37.8,98.4,77.9,Vegetative,Stem Borer,0.665,Medium
38.0,51.0,11.2,Tillering,Leaf Folder,0.296,Low
28.3,42.3,88.1,Seedling,Stem Borer,0.421,Medium
19.9,45.4,50.4,Seedling,Rice Blast Risk,0.127,Low
32.6,63.4,70.5,Tillering,Stem Borer,0.44,Medium
37.5,91.2,3.1,Flowering,Rice Bug,1.0,High
24.4,65.0,83.5,Vegetative,Leaf Folder,0.63,Medium
27.2,33.9,59.5,Vegetative,Stem Borer,0.697,High
26.5,32.8,75.0,Ripening,Rice Blast Risk,0.49,Medium
19.0,45.9,37.9,Ripening,Rice Bug,0.538,Medium
31.4,89.0,17.5,Tillering,Stem Borer,0.909,High
25.1,73.5,52.3,Seedling,Rice Blast Risk,0.563,Medium
33.7,69.4,113.3,Flowering,Rice Bug,1.0,High
34.6,52.3,27.3,Flowering,Rice Bug,0.718,High
34.4,95.1,81.1,Ripening,Rice Bug,0.924,High
26.3,53.2,6.0,Ripening,Rice Bug,0.548,Medium
24.4,88.4,86.2,Flowering,Rice Blast Risk,1.0,High
33.0,92.7,28.6,Seedling,Brown Planthopper,0.473,Medium
34.0,63.8,54.2,Vegetative,Stem Borer,0.42,Medium
27.8,92.6,44.1,Flowering,Rice Bug,1.0,High
35.9,49.4,13.5,Flowering,Rice Bug,0.807,High
20.9,76.1,41.5,Tillering,Stem Borer,0.672,Medium
35.6,36.2,42.0,Tillering,Stem Borer,0.326,Low
19.9,63.2,62.7,Flowering,Rice Bug,0.434,Medium
21.1,45.2,116.7,Tillering,Rice Blast Risk,0.534,Medium
28.7,34.4,56.4,Seedling,Stem Borer,0.473,Medium
19.4,30.3,109.7,Ripening,Rice Bug,0.464,Medium
19.1,52.7,55.4,Vegetative,Stem Borer,0.37,Low
18.0,71.3,12.9,Vegetative,Stem Borer,0.569,Medium
26.7,61.9,27.6,Seedling,Brown Planthopper,0.373,Low
33.5,51.1,48.9,Tillering,Stem Borer,0.399,Low
18.7,99.4,39.0,Ripening,Rice Bug,0.686,High
31.0,95.8,103.9,Seedling,Stem Borer,0.754,High
34.5,38.8,81.4,Vegetative,Stem Borer,0.393,Low
21.4,59.1,69.4,Seedling,Rice Blast Risk,0.674,Medium
20.9,75.4,58.9,Seedling,Rice Blast Risk,0.491,Medium
35.2,81.3,47.7,Flowering,Rice Bug,1.0,High
34.5,55.6,73.5,Vegetative,Stem Borer,0.47,Medium
28.8,82.2,15.0,Flowering,Rice Bug,0.979,High
34.4,38.7,19.5,Tillering,Leaf Folder,0.33,Low
19.9,53.2,36.4,Flowering,Rice Bug,0.454,Medium
25.9,80.2,20.5,Seedling,Brown Planthopper,0.755,High
32.8,73.8,81.3,Vegetative,Stem Borer,0.7,High
23.1,88.6,3.0,Tillering,Rice Blast Risk,0.801,High
33.0,33.3,19.2,Seedling,Rice Bug,0.17,Low
28.1,42.2,108.3,Tillering,Stem Borer,0.815,High
33.0,33.4,119.7,Tillering,Stem Borer,0.387,Low
27.3,43.4,58.5,Tillering,Stem Borer,0.703,High
25.4,30.3,59.4,Tillering,Leaf Folder,0.619,Medium
22.4,65.3,92.8,Flowering,Rice Bug,0.737,High
22.2,67.0,4.3,Flowering,Rice Bug,0.732,High
33.0,76.1,51.2,Seedling,Rice Bug,0.5,Medium
20.4,56.9,12.0,Flowering,Rice Bug,0.499,Medium
19.7,30.2,48.1,Ripening,Rice Bug,0.54,Medium
21.5,77.2,118.1,Ripening,Rice Bug,0.761,High
21.5,33.8,90.4,Vegetative,Rice Blast Risk,0.585,Medium
34.5,90.6,118.2,Flowering,Rice Bug,1.0,High
26.0,31.6,89.5,Ripening,Rice Blast Risk,0.562,Medium
37.8,67.1,73.0,Vegetative,Rice Bug,0.488,Medium
20.7,92.6,90.5,Ripening,Rice Blast Risk,1.0,High
31.1,70.1,79.1,Flowering,Rice Bug,1.0,High
27.0,72.6,55.7,Flowering,Rice Bug,0.742,High
25.9,77.7,35.1,Flowering,Rice Bug,0.741,High
35.5,38.6,62.4,Flowering,Rice Bug,0.745,High
37.5,77.2,31.0,Ripening,Rice Bug,1.0,High
35.5,91.6,58.4,Ripening,Rice Bug,0.997,High
21.8,98.2,17.5,Tillering,Rice Blast Risk,0.772,High
22.4,61.0,67.8,Tillering,Rice Blast Risk,0.588,Medium
31.1,54.1,29.4,Flowering,Rice Bug,0.791,High
23.8,82.7,35.2,Ripening,Rice Bug,0.839,High
32.7,68.0,59.9,Vegetative,Rice Bug,0.47,Medium
29.3,48.0,19.5,Vegetative,Leaf Folder,0.683,High
29.0,42.1,115.5,Flowering,Rice Bug,0.655,Medium
34.6,41.9,53.6,Ripening,Rice Bug,0.791,High
32.2,62.1,42.3,Ripening,Rice Bug,0.677,Medium
18.5,41.9,3.5,Seedling,Brown Planthopper,0.051,Low
19.0,31.4,101.2,Ripening,Rice Bug,0.517,Medium
30.0,33.6,75.1,Flowering,Rice Bug,0.719,High
27.7,95.1,50.0,Seedling,Rice Blast Risk,0.962,High
23.2,35.1,29.5,Seedling,Rice Blast Risk,0.326,Low
26.4,35.1,89.4,Vegetative,Stem Borer,0.736,High
33.2,61.6,113.5,Ripening,Rice Bug,0.703,High
34.5,47.2,45.7,Flowering,Rice Bug,0.747,High
29.2,97.4,16.2,Tillering,Leaf Folder,0.981,High
25.7,93.8,13.1,Flowering,Brown Planthopper,1.0,High
23.4,58.3,0.8,Tillering,Leaf Folder,0.392,Low
28.4,61.4,89.3,Ripening,Rice Bug,0.658,Medium
24.3,56.3,117.8,Seedling,Rice Blast Risk,0.602,Medium
29.3,32.7,119.1,Vegetative,Stem Borer,0.669,Medium
31.5,50.5,94.1,Vegetative,Stem Borer,0.712,High
19.3,38.6,19.5,Ripening,Rice Bug,0.453,Medium
18.0,37.2,117.3,Tillering,Stem Borer,0.419,Low
22.2,69.3,39.3,Flowering,Rice Bug,0.878,High
35.9,36.9,40.0,Ripening,Rice Bug,0.756,High
30.9,37.2,82.5,Seedling,Stem Borer,0.377,Low
21.4,63.6,5.9,Ripening,Rice Bug,0.488,Medium
35.8,61.0,99.1,Seedling,Rice Bug,0.177,Low
27.4,39.6,119.7,Flowering,Rice Bug,0.822,High
27.5,30.3,93.0,Flowering,Rice Bug,0.766,High
36.7,43.5,93.8,Ripening,Rice Bug,0.698,High
19.2,46.5,46.8,Seedling,Rice Blast Risk,0.149,Low
22.3,86.0,7.9,Ripening,Rice Blast Risk,0.801,High
29.7,94.1,95.1,Flowering,Rice Bug,1.0,High
21.9,58.4,71.7,Seedling,Rice Blast Risk,0.492,Medium
31.6,58.4,109.1,Tillering,Stem Borer,0.756,High
22.3,79.9,13.9,Ripening,Rice Bug,0.745,High
20.0,73.9,36.6,Tillering,Stem Borer,0.653,Medium
22.1,42.9,43.3,Vegetative,Rice Blast Risk,0.527,Medium
26.5,37.5,82.0,Vegetative,Stem Borer,0.787,High
21.5,60.6,94.5,Tillering,Rice Blast Risk,0.481,Medium
20.7,69.5,115.3,Ripening,Rice Bug,0.713,High
35.2,39.7,35.4,Flowering,Rice Bug,0.798,High
24.4,50.5,59.2,Flowering,Rice Blast Risk,0.561,Medium
25.2,51.4,3.5,Flowering,Brown Planthopper,0.56,Medium
19.1,48.3,30.4,Flowering,Rice Bug,0.548,Medium
25.1,62.3,44.9,Tillering,Leaf Folder,0.701,High
23.3,75.7,71.3,Flowering,Rice Bug,0.767,High
30.2,65.7,56.5,Vegetative,Stem Borer,0.669,Medium
22.1,44.1,43.7,Tillering,Rice Blast Risk,0.527,Medium
35.8,37.2,74.9,Vegetative,Stem Borer,0.414,Low
36.6,87.5,99.4,Ripening,Rice Bug,0.934,High
20.0,63.6,29.0,Flowering,Rice Bug,0.566,Medium
20.1,34.3,41.1,Tillering,Rice Blast Risk,0.635,Medium
20.3,48.1,84.6,Tillering,Rice Blast Risk,0.538,Medium
30.4,86.3,93.4,Tillering,Stem Borer,1.0,High
20.4,82.6,99.0,Flowering,Rice Bug,0.809,High
35.0,91.3,25.1,Vegetative,Brown Planthopper,0.798,High
33.1,72.1,64.7,Ripening,Rice Bug,1.0,High
34.4,59.6,108.0,Vegetative,Stem Borer,0.313,Low
28.5,59.9,47.0,Seedling,Stem Borer,0.384,Low
37.9,43.6,51.6,Flowering,Rice Bug,0.775,High
18.9,75.6,118.2,Flowering,Rice Bug,0.725,High
26.0,71.0,13.6,Vegetative,Stem Borer,0.989,High
24.5,40.8,84.7,Flowering,Rice Blast Risk,0.631,Medium
37.0,92.0,102.0,Flowering,Rice Bug,0.959,High
29.5,55.8,18.1,Flowering,Rice Bug,0.742,High
34.1,33.5,85.7,Ripening,Rice Bug,0.713,High
21.4,53.0,56.4,Ripening,Rice Blast Risk,0.54,Medium
37.6,90.9,102.3,Tillering,Stem Borer,0.689,High
28.0,94.2,108.9,Vegetative,Leaf Folder,1.0,High
27.9,64.3,104.7,Seedling,Rice Blast Risk,0.506,Medium
37.4,96.9,7.7,Tillering,Brown Planthopper,0.569,Medium
25.6,91.3,90.8,Flowering,Rice Blast Risk,0.92,High
26.0,87.8,110.6,Flowering,Rice Blast Risk,0.949,High
29.7,90.2,74.6,Seedling,Brown Planthopper,0.667,Medium
20.6,56.7,72.1,Flowering,Rice Blast Risk,0.559,Medium
24.4,83.0,5.4,Flowering,Rice Bug,0.696,High
21.9,70.4,102.7,Flowering,Rice Bug,0.689,High
20.1,80.4,5.6,Tillering,Brown Planthopper,0.654,Medium
35.3,42.4,37.6,Seedling,Rice Bug,0.194,Low
29.8,81.2,111.1,Tillering,Leaf Folder,0.972,High
25.2,97.0,114.0,Flowering,Rice Blast Risk,0.97,High
26.2,51.2,119.0,Tillering,Stem Borer,0.734,High
26.6,99.0,57.2,Tillering,Leaf Folder,0.951,High
30.7,56.5,21.3,Tillering,Stem Borer,0.682,High
36.5,44.0,58.6,Tillering,Stem Borer,0.373,Low
36.7,37.9,12.3,Vegetative,Leaf Folder,0.39,Low
25.8,84.9,104.7,Flowering,Brown Planthopper,0.892,High
24.6,68.8,67.3,Vegetative,Leaf Folder,0.703,High
27.0,51.5,48.5,Tillering,Stem Borer,0.642,Medium
29.4,72.6,9.5,Tillering,Stem Borer,0.898,High
27.2,53.2,48.6,Flowering,Rice Bug,0.721,High
31.2,61.4,103.9,Ripening,Rice Bug,0.689,High
29.1,90.4,84.4,Flowering,Rice Bug,0.997,High
24.4,76.8,9.9,Seedling,Leaf Folder,0.737,High
24.9,83.4,19.2,Flowering,Rice Bug,0.707,High
25.6,70.8,47.1,Vegetative,Stem Borer,0.694,High
19.9,99.4,12.2,Seedling,Brown Planthopper,0.434,Medium
21.3,46.9,112.1,Seedling,Rice Blast Risk,0.477,Medium
32.5,48.4,78.3,Ripening,Rice Bug,0.711,High
25.8,36.5,11.4,Tillering,Leaf Folder,0.628,Medium
22.3,68.8,94.6,Vegetative,Rice Blast Risk,0.53,Medium
29.3,72.9,44.2,Seedling,Stem Borer,0.689,High
33.1,80.8,29.4,Flowering,Rice Bug,0.918,High
23.1,53.5,68.4,Flowering,Rice Blast Risk,0.519,Medium
34.5,30.9,1.6,Vegetative,Leaf Folder,0.375,Low
36.6,74.3,55.8,Seedling,Rice Bug,0.432,Medium
29.9,99.9,101.3,Vegetative,Leaf Folder,0.982,High
31.4,50.6,111.4,Flowering,Rice Bug,0.765,High
19.1,42.9,41.1,Seedling,Rice Blast Risk,0.161,Low
36.9,49.7,77.1,Vegetative,Stem Borer,0.417,Low
25.8,59.8,27.2,Seedling,Brown Planthopper,0.324,Low
36.5,47.6,67.2,Tillering,Stem Borer,0.444,Medium
29.6,54.3,30.5,Seedling,Brown Planthopper,0.418,Low
18.1,74.7,68.6,Seedling,Stem Borer,0.403,Low
18.8,54.2,20.6,Seedling,Brown Planthopper,0.156,Low
31.6,57.7,112.9,Flowering,Rice Bug,0.734,High
29.3,32.8,106.4,Tillering,Stem Borer,0.669,Medium
18.5,94.3,40.4,Ripening,Rice Bug,0.819,High
32.9,58.5,93.2,Vegetative,Stem Borer,0.492,Medium
35.0,53.0,11.5,Vegetative,Leaf Folder,0.315,Low
27.9,36.1,88.8,Vegetative,Stem Borer,0.694,High
27.3,74.4,33.9,Ripening,Rice Bug,1.0,High
18.1,90.5,16.3,Tillering,Brown Planthopper,0.696,High
33.7,32.9,81.4,Vegetative,Stem Borer,0.43,Medium
24.6,40.2,56.4,Flowering,Rice Blast Risk,0.589,Medium
35.6,40.2,63.6,Tillering,Stem Borer,0.372,Low
25.5,72.2,62.5,Seedling,Rice Blast Risk,0.571,Medium
29.3,94.5,7.1,Flowering,Rice Bug,1.0,High
23.4,60.6,6.2,Seedling,Rice Blast Risk,0.289,Low
21.2,54.1,72.1,Seedling,Rice Blast Risk,0.501,Medium
33.5,83.6,74.9,Flowering,Rice Bug,0.967,High
27.9,82.0,5.7,Tillering,Leaf Folder,1.0,High
28.7,47.3,45.4,Vegetative,Stem Borer,0.748,High
37.3,41.3,73.5,Seedling,Rice Bug,0.287,Low
37.3,55.0,78.8,Tillering,Stem Borer,0.422,Medium
35.1,84.3,99.4,Flowering,Rice Bug,1.0,High
21.8,78.7,50.5,Vegetative,Stem Borer,0.714,High
29.9,76.6,65.8,Tillering,Leaf Folder,1.0,High
35.6,88.1,69.4,Vegetative,Stem Borer,0.724,High
25.5,49.4,37.4,Ripening,Rice Blast Risk,0.48,Medium
20.0,53.8,6.5,Flowering,Rice Bug,0.46,Medium
34.2,33.0,0.5,Vegetative,Leaf Folder,0.299,Low
27.6,90.8,100.3,Tillering,Leaf Folder,1.0,High
29.3,70.8,24.0,Ripening,Rice Bug,1.0,High
37.6,50.9,75.6,Vegetative,Stem Borer,0.292,Low
30.1,34.9,69.2,Seedling,Stem Borer,0.478,Medium
26.5,80.6,48.0,Vegetative,Leaf Folder,1.0,High
25.4,82.4,100.0,Flowering,Brown Planthopper,0.951,High
26.4,76.6,83.8,Ripening,Rice Bug,0.775,High
20.4,44.3,2.7,Vegetative,Leaf Folder,0.422,Medium
33.9,93.9,93.2,Seedling,Rice Blast Risk,0.66,Medium
34.8,82.7,60.8,Seedling,Rice Bug,0.432,Medium
23.7,76.0,41.6,Tillering,Stem Borer,0.695,High
24.1,75.6,87.2,Seedling,Leaf Folder,0.676,Medium
35.5,93.3,82.3,Seedling,Rice Blast Risk,0.639,Medium
18.5,95.0,37.3,Flowering,Rice Bug,0.783,High
28.4,71.7,118.0,Ripening,Rice Bug,0.997,High
27.3,59.2,77.8,Vegetative,Stem Borer,0.67,Medium
31.8,55.5,72.7,Tillering,Stem Borer,0.646,Medium
21.3,87.3,8.4,Tillering,Rice Blast Risk,0.78,High
31.4,75.1,33.5,Flowering,Rice Bug,1.0,High
25.5,35.4,53.6,Ripening,Rice Blast Risk,0.452,Medium
30.4,40.0,75.7,Ripening,Rice Bug,0.711,High
18.8,93.0,61.5,Vegetative,Stem Borer,0.6,Medium
27.2,91.9,91.6,Ripening,Rice Bug,0.969,High
28.4,96.6,31.5,Seedling,Brown Planthopper,0.86,High
22.3,59.9,84.3,Ripening,Rice Blast Risk,0.491,Medium
20.8,84.9,98.0,Seedling,Rice Blast Risk,0.585,Medium
21.8,88.0,91.8,Seedling,Rice Blast Risk,1.0,High
24.9,52.1,92.5,Seedling,Rice Blast Risk,0.623,Medium
19.9,40.2,106.6,Seedling,Rice Blast Risk,0.207,Low
36.9,99.8,10.1,Tillering,Brown Planthopper,0.743,High
26.1,32.1,83.7,Flowering,Rice Blast Risk,0.482,Medium
34.2,71.8,116.2,Flowering,Rice Bug,0.921,High
37.5,75.5,68.8,Seedling,Rice Bug,0.501,Medium
19.6,77.7,26.1,Vegetative,Stem Borer,0.72,High
31.0,47.9,119.9,Seedling,Stem Borer,0.455,Medium
35.4,80.5,21.0,Seedling,Brown Planthopper,0.472,Medium
30.7,45.1,40.3,Flowering,Rice Bug,0.76,High
26.6,88.0,20.6,Flowering,Brown Planthopper,1.0,High
